cake_path,children,group,size_span,ratios_stdev,seconds
cakes/tournament/players/player2/princess.csv,9,6,0.4900,11.4411,85.7153
cakes/tournament/players/player2/princess.csv,9,7,0.4804,14.3531,110.5584
cakes/tournament/players/player2/princess.csv,9,8,0.6374,12.3090,240.0429
cakes/tournament/players/player2/princess.csv,9,9,0.3499,8.1701,213.2755
cakes/tournament/players/player2/princess.csv,9,10,0.0001,17.7797,272.1758
cakes/tournament/players/player2/princess.csv,12,1,0.0014,18.3695,29.0188
cakes/tournament/players/player2/princess.csv,12,2,0.4434,12.5608,252.3465
cakes/tournament/players/player2/princess.csv,12,3,0.3059,14.1847,63.3375
cakes/tournament/players/player2/princess.csv,12,4,-1,-1,300.0000
cakes/tournament/players/player2/princess.csv,12,5,0.4497,18.7385,20.2231
cakes/tournament/players/player2/princess.csv,12,6,0.4900,12.9117,112.8120
cakes/tournament/players/player2/princess.csv,12,7,0.4772,10.5471,166.7862
cakes/tournament/players/player2/princess.csv,12,8,-1,-1,300.0000
cakes/tournament/players/player2/princess.csv,12,9,-1,-1,300.0000
cakes/tournament/players/player2/princess.csv,12,10,0.0000,19.9657,272.7980
cakes/tournament/players/player2/princess.csv,18,1,0.0018,18.3002,40.1425
cakes/tournament/players/player2/princess.csv,18,2,-1,-1,300.0000
cakes/tournament/players/player2/princess.csv,18,3,0.3833,15.3468,81.0430
cakes/tournament/players/player2/princess.csv,18,4,-1,-1,300.0000
cakes/tournament/players/player2/princess.csv,18,5,16.3863,23.9549,29.7682
cakes/tournament/players/player2/princess.csv,18,6,0.4900,17.7688,163.2241
cakes/tournament/players/player2/princess.csv,18,7,0.4963,17.6946,282.5468
cakes/tournament/players/player2/princess.csv,18,8,-1,-1,300.0000
cakes/tournament/players/player2/princess.csv,18,9,-1,-1,300.0000
cakes/tournament/players/player2/princess.csv,18,10,0.0002,20.1622,260.2898
